year,evi_apr,evi_aug,evi_jul,evi_jun,evi_may,evi_sep,lst_apr,lst_aug,lst_jul,lst_jun,lst_may,lst_sep,ndvi_apr,ndvi_aug,ndvi_jul,ndvi_jun,ndvi_may,ndvi_sep,ndwi_apr,ndwi_aug,ndwi_jul,ndwi_jun,ndwi_may,ndwi_sep,yield_wheat_c_ha,yield_barley_c_ha,yield_sunflower_c_ha,precip_apr,precip_aug,precip_jul,precip_jun,precip_may,precip_sep,temp_apr,temp_aug,temp_jul,temp_jun,temp_may,temp_sep
2007,0.1465975489567605,0.2220108083304808,0.231923421305569,0.2273923032671333,0.2071133296653675,0.1562582776608009,21.13859326596668,32.967877271992414,34.45763435923255,34.99245636012694,28.47761717577117,25.01800606751792,0.2965804725038961,0.4011111214913637,0.419614747357403,0.4080199113520328,0.3899383322228146,0.3009679460489387,-0.1775654517162313,-0.1021972111051767,-0.05182372460822,-0.0692140531260413,-0.0821929885028998,-0.1619708486044203,8.6,9.6,3.5,16.07440872583664,24.41816481965757,84.1275783330767,68.7996504894448,39.684775510715006,14.82412791650187,8.894117391780728,19.178655331296948,22.11094018867033,18.403372995166546,15.10752502497785,14.679107650972224
2008,0.1104729283748334,0.1704980517035667,0.1671763291865269,0.1865908866108961,0.167900814250569,0.1810627315709759,23.19037488597652,33.009600285460564,40.03043388329778,39.20666962274038,35.464087003799214,18.20728757816912,0.2296338288973213,0.3180175922632679,0.302892078770716,0.3398636215087957,0.3232108493297684,0.3396216715121749,-0.1747142817700057,-0.1344593516530203,-0.1268592765445374,-0.1150580697043585,-0.1197059350469545,-0.1082528228648321,3.9,3.2,1.5,19.6532428587478,56.72915171396805,48.81758195155371,21.711894295868653,16.78662739931622,49.36507117488376,6.238706593706683,19.561911505238843,24.29548509326868,20.788729070579823,15.892467932669067,10.439867153357746
2009,0.1147913043797791,0.2312807317621913,0.2374714713162204,0.234749186859553,0.191366363338826,0.1861736945376384,16.668166278884144,27.05959284364156,32.307198323555504,34.07789418360187,29.507450175904683,22.38873271637988,0.2365692108719595,0.4292551970611512,0.4209500380282103,0.4199499543157359,0.3653207990929881,0.3696247154338199,-0.1956669634515813,-0.0523231573766405,-0.037209250684814,-0.047699992117346,-0.0966503548143596,-0.1406711228888696,13.9,12.9,4.4,32.66265325176815,35.185208251772835,104.26685434094918,37.53012389605759,43.0959705901866,25.680986028380445,6.792263263734675,18.654386603304165,19.81069628570103,17.89056955402087,14.443163078695944,12.754655426488997
2010,0.1130404854224943,0.1797450229660265,0.1962825770069115,0.1817659664130821,0.1602634465411564,0.1451195481090748,18.64703219437015,37.25204759006709,36.16138826890853,40.15645529898666,29.168418028127235,27.228554412463904,0.2353277560095636,0.3297478229519671,0.3524851529913878,0.3334584012675599,0.3102013665035558,0.2792171275091183,-0.1502300611370514,-0.131127988532179,-0.0947343421823194,-0.1136247240805543,-0.1249680297464734,-0.159032258305941,5.7,4.8,2.3,10.361938498468453,18.60476257155613,45.346614171259006,27.60011530644653,18.301293805599723,11.398709046070564,5.38454108632974,20.835043221427764,19.15507174022632,20.93969191859327,12.658403850098436,13.361380834885924
2011,0.1667133016242962,0.1885148073208418,0.2108948754118126,0.1936959885064771,0.1827526680846463,0.1688892847309314,23.177897364579547,31.05222432529261,36.00899193508817,37.00549703935129,30.75249122183775,25.11732316588768,0.3181699354396384,0.346185797486087,0.3838400073194429,0.3559488404263587,0.3439748181810113,0.3202675838926939,-0.1681512938661267,-0.1160967873380586,-0.0959282410828395,-0.1012036399529361,-0.1114219512605554,-0.149680847096772,7.6,7.6789,2.5,22.51135055202896,44.02578692325674,57.745890707403966,46.291693286808986,21.46995656382204,11.127828971838014,9.873813840930971,18.099373753264903,20.52249501502467,21.5299100531033,14.128836616623524,14.676920834675402
2012,0.1228638964739411,0.1697449162156214,0.201267687801252,0.1844308207941094,0.165424468287648,0.143692532828827,24.14238678405732,35.87495102541961,37.23561660155654,40.09364232168184,32.55182051259803,25.11884525261653,0.2510776917931144,0.3183447918256574,0.3735820919183121,0.3422065506696309,0.3182594168711577,0.2820134144109373,-0.1705903692503946,-0.1538598803049593,-0.1038585885048304,-0.1342870339922146,-0.1365195238554227,-0.1787864344828299,3.7682,4.4,1.9229,9.597738745833444,30.708255147857138,44.7305254556443,54.81362263787874,23.830592097228145,24.25015581655922,10.46712992349119,20.65146778332701,24.82574931498269,22.305239483897157,14.604744425037014,14.294656530030808
2013,0.1576834419506037,0.2504386856314545,0.2475207721208842,0.2322450727679026,0.2120227675641114,0.2138965336325748,21.15123828582169,28.73716737321431,32.54746137217472,35.83106214888116,25.590638947312257,20.00029107037263,0.3095511251732367,0.4613276359730864,0.4283009815646221,0.4142134394855511,0.3986608088274821,0.4189035924433386,-0.1871869773119827,-0.059892993455463,-0.0425109554994364,-0.0631632427339896,-0.0861530040723281,-0.1041778966480402,12.0106,12.1,4.7021,21.25021160093234,88.31591157034786,98.7911718445654,14.827164092621851,42.56465818597655,15.586790428907936,7.836930783251734,19.037959227646315,20.19267320554381,18.088521668823947,11.996918740567809,12.425995422113346
2014,0.1237066184393098,0.1822936845985166,0.1892347407735945,0.1953464453085564,0.1713813724087188,0.174705656094119,18.338800068153983,34.2899866991035,35.448642673054124,37.7492725997702,30.53476958022068,20.648492660742253,0.24388438761226,0.3452099828627831,0.3360752325651575,0.3442569111785802,0.3173980565008539,0.3445911759816112,-0.1723502281612858,-0.1405067051564232,-0.1073232205240161,-0.1084891596476761,-0.1161644907868476,-0.135410818941654,5.8,6.4,3.3,20.103749725178982,58.406892722519416,68.18701208808966,23.552701195407725,25.91164616010341,27.181585494239933,6.320800120892621,20.66623483283268,20.16780169671792,20.86381594236386,14.263074288480912,10.715893699587673
2015,0.1466058458328407,0.2050022387017117,0.2114968441705166,0.2366872283236035,0.2185447194782699,0.17990663057503,16.37252181555348,31.07313310405282,36.79416899661727,36.24142403162124,27.47275604974749,21.630970947362325,0.3001363408275516,0.3841203424926727,0.3845017811819335,0.4363910715343064,0.4123747375411857,0.3404387325624494,-0.0987784887813488,-0.1026278695426061,-0.0848321690371366,-0.0689522617238685,-0.0786421166949899,-0.1520634200456709,8.8,7.5,5.4,22.566957404881023,36.31147201778408,65.25703509392679,43.24539310775309,32.304396366197615,37.83560670846215,6.353279186030317,18.91653457695465,21.630776494300807,21.426594728042588,15.303067640830532,12.03665167762037
2016,0.1603004779857257,0.263187136779003,0.2599289934835252,0.2105270224932404,0.1827710626684339,0.1951456769588889,23.012631740708468,30.89802698139266,31.0959383588941,34.50480046814873,32.71318524971987,24.178689918031,0.3163755476597764,0.494911555852756,0.470116278167645,0.3834132483465859,0.3551150374590727,0.3761930746303906,-0.1567094058110352,-0.0733595028974617,-0.0447846224577365,-0.1070200523348793,-0.1283377920603508,-0.1337882254266206,10.1,12.4,5.8,23.37567601557605,16.363886068992997,136.33054977853996,61.496733588275205,20.227887358795904,19.54395797913311,9.65063614096224,19.58145181393241,20.887081902106832,20.06568287363814,13.86656852317538,15.90374149454582
2017,0.1382048372690157,0.2170970828222066,0.2486599034975529,0.238612770534932,0.1938388860307748,0.1744572407647001,18.37183798057046,33.14505703217996,33.12749056874618,36.148776681944064,27.97463905322349,19.093525564462603,0.2684972730756907,0.4032665166820784,0.4362859978431975,0.4219824464199864,0.3640309383544265,0.3405192231557222,-0.1540406448778259,-0.1250540418755929,-0.0684126929844009,-0.0740421844718769,-0.1129845499887447,-0.1333526993900985,10.0,10.6,6.2,23.36977457587549,32.6228958076943,64.98530118700893,50.18759126402307,34.65430873712255,30.866250627475956,7.097929626669221,20.06402399113721,21.03196831715691,21.61984590547816,15.308724262687576,12.564831096505095
2018,0.1235305798068413,0.2257800923893397,0.2738254563265878,0.2604476008882758,0.1946258676794256,0.1909560754329961,15.260469469889356,30.13358637474489,33.25205078689671,31.729399132623808,20.87134072417753,20.789165233949223,0.2535774138721332,0.4229756263089071,0.4879788885553091,0.4723357188524791,0.3702841903808606,0.3827270471202962,-0.1997702326896497,-0.0784463824068859,-0.0404643198786144,-0.0393146423042102,-0.1308040993906241,-0.1550825794305508,11.1559,10.4,6.2806,42.65226236322689,53.21905722183946,54.86254231780916,66.24832221662994,56.470250400846105,42.694633312467104,5.4814832214825575,18.704041809873573,20.5920008041607,19.55935467645105,9.563886410300304,11.892397419067418
2019,0.1172488438851017,0.201950601512513,0.2252339895755371,0.2347689318411717,0.1739301415391314,0.1706345779601663,18.868636840106625,32.16152512841287,36.99617545749289,32.4714342529077,27.881855112927312,23.20270295500288,0.2457054747271139,0.3696141603498646,0.4014925947652897,0.4196681860474889,0.3317172345988889,0.3205020247441705,-0.125301630598255,-0.1266352109237546,-0.0799885747683722,-0.0742938938341636,-0.1353414756872691,-0.1695087850979909,7.9,6.3,5.9514,35.952010200362665,20.386715507960474,37.77471090144531,62.21694826019823,14.794648507347068,32.19508944683554,5.497350540355414,21.324491522278247,22.52336370822554,17.447500193252136,12.727801696543048,13.330918594243514
2020,0.1512648870055579,0.209172305025117,0.2109668311066954,0.1967700992143145,0.1892713885070445,0.1697938191003263,25.78331816653581,33.18414962369111,36.63237544556222,38.11598544924076,37.36949964862789,23.12247418601552,0.302631726144433,0.3813780860266965,0.3662969297225069,0.34823588000317,0.361622740965487,0.328569265666697,-0.1884906079305265,-0.1286640655241941,-0.1132447191438051,-0.1116647497993624,-0.1144557411087543,-0.1767196047934713,8.7,7.6,6.7,19.810805059667185,23.66275078527403,69.06356186092059,26.00776134062117,10.379754746138197,38.4905728905633,11.228061543024612,20.81061977554285,22.433465020726867,20.15526713629301,19.35876870872202,12.50533911063617
2021,0.1182210250395557,0.2059390536222757,0.2202215487032233,0.1893633190524188,0.1679504976179295,0.1809818916610545,20.01977858180568,34.34447475046697,37.65561098832556,39.543082311130505,35.310255883872095,22.57362527316417,0.2445934564196258,0.3749102030833657,0.383696186286824,0.341774358852012,0.3249152727786608,0.3474453798448256,-0.1682259936878021,-0.118915026070595,-0.0998326770449204,-0.1123970103693637,-0.1440248169116998,-0.1109854029179503,11.8,11.7,8.2,10.94084169296872,46.78377903630793,49.03790577774883,52.42766423157378,11.120916176060785,33.48744644350107,5.605964329154987,20.556978959969165,21.8887259160404,18.772944619915663,17.906099551392803,11.637713263768427
2022,0.1193756782669877,0.2025132083677399,0.1982750184363985,0.2026442377956487,0.1756288785639837,0.1756010634495521,23.21940673764304,31.763181521561176,36.33387993614196,37.2936413666116,34.173399478196295,26.039016109461603,0.2419317400307277,0.3649104245108887,0.3459697438818798,0.3503037680696839,0.3264525618892128,0.3302669868577895,-0.2152929765941681,-0.1236110133965322,-0.1134903871616008,-0.1139258545958096,-0.1294796095516135,-0.1583318815857506,9.5,9.9,8.2,13.953578098108627,41.572946492080966,44.64023513689333,31.019194131406493,12.471248327142977,15.073868345886712,8.392108823545977,18.017558956025,22.263082301504685,21.010738363214024,17.42713889963412,14.734544601102604
2023,0.106600307744264,0.1803720633602963,0.1708481208649326,0.1737022211721634,0.1639710508202047,0.1943770620959461,17.444203764304476,32.84054514060801,39.98876887135357,40.54717974465631,32.68445482014644,21.09818227905185,0.2162505825446248,0.3239282508102026,0.2950370941175877,0.3099268328757849,0.3004710035502301,0.3675205966236417,-0.074829657006693,-0.1361778570939978,-0.1372209923180672,-0.1305436491377712,-0.1406142923132199,-0.1272438238164336,4.1,4.5,4.9,28.185782690355563,55.24944699529761,22.427679788138207,26.439963864019283,7.615624914278913,59.228509040496256,3.710886066403786,20.499757112217328,24.81078984112036,21.58351433493121,14.292965603568751,13.91126607708229
2024,0.1410347106217676,0.2528256418415017,0.2752402876364743,0.2894425938718074,0.243821759646294,0.23233205561163,18.964289173894045,26.79438678910392,32.831514155403404,33.01140455835849,25.058984094692843,18.261360356226227,0.2783031326327559,0.4580936017639416,0.4714721449095926,0.4997718672306486,0.4343466467836029,0.4386804165295956,-0.1468197578241252,-0.0234785006771061,0.0037170928844429,-0.0006409658676702,-0.0442088007881137,-0.0906512863727435,11.2,11.2,11.1,27.591069565232186,77.92790778402916,70.70828725932384,33.86871983813604,94.8853178110434,45.82483949238658,7.522846537917446,19.54266519811856,22.497498536975275,21.690865426320286,12.049635596554486,11.121269628254936
2025,0.1576360283158152,0.2190187279069446,0.2337777288953046,0.2324927766466992,0.224038720525715,0.2097979357088954,18.93863305456205,26.92515385160164,33.21716667381912,36.023508933823145,29.86961074718328,19.867840193493763,0.2966164967239981,0.3890381124644601,0.4079043584135283,0.401606490225349,0.3934575227705144,0.4032685312973514,-0.1244217787662505,-0.1006161088109592,-0.0715497182170299,-0.0772473309650206,-0.0613443514304306,-0.1199985054166661,13.7,12.4,10.9,28.58527314982503,72.12415399188578,35.30772387439798,54.43216388137735,32.33403839075368,51.106822030680895,10.139233094333116,18.572994562355536,22.075954296239157,22.566107866555036,16.947412186994505,13.338603152814349
